Driver,DriverNumber,LapNumber,Stint,Compound,TyreLife,LapTime,PitInTime,PitOutTime,TrackStatus
VER,1,1.0,1.0,MEDIUM,1.0,87.905,,,1
VER,1,2.0,1.0,MEDIUM,2.0,86.163,,,1
VER,1,3.0,1.0,MEDIUM,3.0,85.702,,,1
VER,1,4.0,1.0,MEDIUM,4.0,86.05,,,1
VER,1,5.0,1.0,MEDIUM,5.0,86.176,,,1
VER,1,6.0,1.0,MEDIUM,6.0,86.837,,,1
VER,1,7.0,1.0,MEDIUM,7.0,86.368,,,1
VER,1,8.0,1.0,MEDIUM,8.0,85.99,,,1
VER,1,9.0,1.0,MEDIUM,9.0,86.605,,,1
VER,1,10.0,1.0,MEDIUM,10.0,86.603,,,1
VER,1,11.0,1.0,MEDIUM,11.0,86.643,,,1
VER,1,12.0,1.0,MEDIUM,12.0,86.442,,,1
VER,1,13.0,1.0,MEDIUM,13.0,86.666,,,1
VER,1,14.0,1.0,MEDIUM,14.0,87.028,,,1
VER,1,15.0,1.0,MEDIUM,15.0,86.782,,,1
VER,1,16.0,1.0,MEDIUM,16.0,86.718,,,1
VER,1,17.0,1.0,MEDIUM,17.0,86.733,,,1
VER,1,18.0,1.0,MEDIUM,18.0,86.273,,,1
VER,1,19.0,1.0,MEDIUM,19.0,86.438,,,1
VER,1,22.0,2.0,HARD,2.0,85.885,,,1
VER,1,23.0,2.0,HARD,3.0,86.159,,,1
VER,1,24.0,2.0,HARD,4.0,86.327,,,1
VER,1,25.0,2.0,HARD,5.0,85.914,,,1
VER,1,26.0,2.0,HARD,6.0,85.786,,,1
VER,1,27.0,2.0,HARD,7.0,85.501,,,1
VER,1,28.0,2.0,HARD,8.0,85.434,,,1
VER,1,29.0,2.0,HARD,9.0,85.471,,,1
VER,1,30.0,2.0,HARD,10.0,85.398,,,1
VER,1,31.0,2.0,HARD,11.0,85.502,,,1
VER,1,32.0,2.0,HARD,12.0,85.41,,,1
VER,1,33.0,2.0,HARD,13.0,85.24,,,1
VER,1,34.0,2.0,HARD,14.0,85.683,,,1
VER,1,35.0,2.0,HARD,15.0,85.815,,,1
VER,1,36.0,2.0,HARD,16.0,85.598,,,1
VER,1,37.0,2.0,HARD,17.0,85.683,,,1
VER,1,38.0,2.0,HARD,18.0,85.585,,,1
VER,1,39.0,2.0,HARD,19.0,85.486,,,1
VER,1,40.0,2.0,HARD,20.0,85.901,,,1
VER,1,41.0,2.0,HARD,21.0,85.779,,,1
VER,1,42.0,2.0,HARD,22.0,85.912,,,1
VER,1,43.0,2.0,HARD,23.0,85.994,,,1
VER,1,44.0,2.0,HARD,24.0,85.751,,,1
VER,1,45.0,2.0,HARD,25.0,85.916,,,1
VER,1,46.0,2.0,HARD,26.0,86.185,,,1
VER,1,47.0,2.0,HARD,27.0,86.137,,,1
VER,1,48.0,2.0,HARD,28.0,87.235,,,1
VER,1,49.0,2.0,HARD,29.0,87.907,,,1
VER,1,50.0,2.0,HARD,30.0,88.393,,,1
VER,1,51.0,2.0,HARD,31.0,87.525,,,1
GAS,10,1.0,1.0,MEDIUM,1.0,95.974,,,1
GAS,10,2.0,1.0,MEDIUM,2.0,88.696,,,1
GAS,10,3.0,1.0,MEDIUM,3.0,87.916,,,1
GAS,10,4.0,1.0,MEDIUM,4.0,87.472,,,1
GAS,10,5.0,1.0,MEDIUM,5.0,87.694,,,1
GAS,10,6.0,1.0,MEDIUM,6.0,87.324,,,1
GAS,10,7.0,1.0,MEDIUM,7.0,87.21,,,1
GAS,10,8.0,1.0,MEDIUM,8.0,87.24,,,1
GAS,10,9.0,1.0,MEDIUM,9.0,87.366,,,1
GAS,10,12.0,2.0,HARD,5.0,87.431,,,1
GAS,10,13.0,2.0,HARD,6.0,87.368,,,1
GAS,10,14.0,2.0,HARD,7.0,87.348,,,1
