Driver,DriverNumber,LapNumber,Stint,Compound,TyreLife,LapTime,PitInTime,PitOutTime,TrackStatus
VER,1,1.0,1.0,HARD,1.0,109.827,,,12
VER,1,2.0,1.0,HARD,2.0,101.596,,,12
VER,1,3.0,1.0,HARD,3.0,101.51,,,1
VER,1,4.0,1.0,HARD,4.0,101.143,,,1
VER,1,5.0,1.0,HARD,5.0,101.308,,,1
VER,1,6.0,1.0,HARD,6.0,101.313,,,1
VER,1,7.0,1.0,HARD,7.0,100.423,,,1
VER,1,8.0,1.0,HARD,8.0,100.177,,,1
VER,1,9.0,1.0,HARD,9.0,100.264,,,1
VER,1,10.0,1.0,HARD,10.0,100.408,,,1
VER,1,11.0,1.0,HARD,11.0,100.423,,,1
VER,1,12.0,1.0,HARD,12.0,100.602,,,1
VER,1,13.0,1.0,HARD,13.0,100.693,,,1
VER,1,14.0,1.0,HARD,14.0,100.633,,,1
VER,1,15.0,1.0,HARD,15.0,100.206,,,1
VER,1,16.0,1.0,HARD,16.0,100.39,,,1
VER,1,17.0,1.0,HARD,17.0,100.481,,,1
VER,1,18.0,1.0,HARD,18.0,100.464,,,1
VER,1,19.0,1.0,HARD,19.0,100.746,,,12
VER,1,20.0,1.0,HARD,20.0,118.294,,,14
VER,1,22.0,1.0,HARD,22.0,149.966,,,41
VER,1,23.0,1.0,HARD,23.0,103.346,,,1
VER,1,24.0,1.0,HARD,24.0,101.971,,,1
VER,1,25.0,1.0,HARD,25.0,100.7,,,1
VER,1,26.0,1.0,HARD,26.0,100.244,,,1
VER,1,27.0,1.0,HARD,27.0,101.18,,,1
VER,1,28.0,1.0,HARD,28.0,101.431,,,1
VER,1,29.0,1.0,HARD,29.0,100.437,,,1
VER,1,30.0,1.0,HARD,30.0,100.326,,,1
VER,1,31.0,1.0,HARD,31.0,100.247,,,1
VER,1,32.0,1.0,HARD,32.0,100.033,,,1
VER,1,33.0,1.0,HARD,33.0,100.087,,,1
VER,1,34.0,1.0,HARD,34.0,100.378,,,1
VER,1,35.0,1.0,HARD,35.0,100.266,,,1
VER,1,36.0,1.0,HARD,36.0,100.372,,,1
VER,1,37.0,1.0,HARD,37.0,100.224,,,1
VER,1,38.0,1.0,HARD,38.0,100.61,,,1
VER,1,39.0,1.0,HARD,39.0,101.173,,,1
VER,1,42.0,2.0,MEDIUM,2.0,97.713,,,1
VER,1,43.0,2.0,MEDIUM,3.0,116.357,,,126
VER,1,44.0,2.0,MEDIUM,4.0,137.522,,,6
VER,1,45.0,2.0,MEDIUM,5.0,104.939,,,671
