Driver,DriverNumber,LapNumber,Stint,Compound,TyreLife,LapTime,PitInTime,PitOutTime,TrackStatus
VER,1,1.0,1.0,MEDIUM,1.0,83.935,,,1
VER,1,2.0,1.0,MEDIUM,2.0,80.402,,,1
VER,1,3.0,1.0,MEDIUM,3.0,80.499,,,1
VER,1,4.0,1.0,MEDIUM,4.0,80.346,,,1
VER,1,5.0,1.0,MEDIUM,5.0,80.283,,,1
VER,1,6.0,1.0,MEDIUM,6.0,80.402,,,1
VER,1,7.0,1.0,MEDIUM,7.0,80.476,,,1
VER,1,8.0,1.0,MEDIUM,8.0,79.894,,,1
VER,1,9.0,1.0,MEDIUM,9.0,80.282,,,1
VER,1,10.0,1.0,MEDIUM,10.0,80.334,,,1
VER,1,11.0,1.0,MEDIUM,11.0,80.52,,,1
VER,1,12.0,1.0,MEDIUM,12.0,80.442,,,1
VER,1,13.0,1.0,MEDIUM,13.0,80.178,,,1
VER,1,14.0,1.0,MEDIUM,14.0,80.378,,,1
VER,1,15.0,1.0,MEDIUM,15.0,80.282,,,1
VER,1,16.0,1.0,MEDIUM,16.0,80.186,,,1
VER,1,17.0,1.0,MEDIUM,17.0,80.344,,,1
VER,1,18.0,1.0,MEDIUM,18.0,80.258,,,1
VER,1,19.0,1.0,MEDIUM,19.0,80.068,,,1
VER,1,20.0,1.0,MEDIUM,20.0,79.988,,,1
VER,1,21.0,1.0,MEDIUM,21.0,80.087,,,1
VER,1,22.0,1.0,MEDIUM,22.0,79.869,,,1
VER,1,23.0,1.0,MEDIUM,23.0,80.098,,,1
VER,1,24.0,1.0,MEDIUM,24.0,79.946,,,1
VER,1,25.0,1.0,MEDIUM,25.0,79.973,,,1
VER,1,28.0,2.0,HARD,2.0,78.707,,,1
VER,1,29.0,2.0,HARD,3.0,78.86,,,1
VER,1,30.0,2.0,HARD,4.0,78.976,,,1
VER,1,31.0,2.0,HARD,5.0,79.165,,,1
VER,1,32.0,2.0,HARD,6.0,78.878,,,1
VER,1,33.0,2.0,HARD,7.0,79.189,,,1
VER,1,34.0,2.0,HARD,8.0,78.806,,,1
VER,1,35.0,2.0,HARD,9.0,78.89,,,1
VER,1,36.0,2.0,HARD,10.0,78.789,,,1
VER,1,37.0,2.0,HARD,11.0,79.026,,,1
VER,1,38.0,2.0,HARD,12.0,79.417,,,1
VER,1,39.0,2.0,HARD,13.0,79.322,,,1
VER,1,40.0,2.0,HARD,14.0,79.388,,,1
VER,1,41.0,2.0,HARD,15.0,79.53,,,1
VER,1,42.0,2.0,HARD,16.0,79.092,,,1
VER,1,43.0,2.0,HARD,17.0,78.912,,,1
VER,1,44.0,2.0,HARD,18.0,78.97,,,1
VER,1,45.0,2.0,HARD,19.0,79.104,,,1
VER,1,46.0,2.0,HARD,20.0,78.84,,,1
VER,1,47.0,2.0,HARD,21.0,79.109,,,1
VER,1,48.0,2.0,HARD,22.0,78.953,,,1
VER,1,49.0,2.0,HARD,23.0,79.093,,,1
VER,1,50.0,2.0,HARD,24.0,79.221,,,1
VER,1,51.0,2.0,HARD,25.0,78.768,,,1
VER,1,54.0,3.0,SOFT,4.0,77.473,,,1
VER,1,55.0,3.0,SOFT,5.0,77.766,,,1
VER,1,56.0,3.0,SOFT,6.0,77.183,,,1
VER,1,57.0,3.0,SOFT,7.0,77.306,,,1
VER,1,58.0,3.0,SOFT,8.0,77.502,,,1
VER,1,59.0,3.0,SOFT,9.0,77.761,,,1
VER,1,60.0,3.0,SOFT,10.0,78.205,,,1
VER,1,61.0,3.0,SOFT,11.0,76.33,,,1
VER,1,62.0,3.0,SOFT,12.0,78.014,,,1
VER,1,63.0,3.0,SOFT,13.0,77.697,,,1
VER,1,64.0,3.0,SOFT,14.0,78.559,,,1
VER,1,65.0,3.0,SOFT,15.0,77.611,,,1
VER,1,66.0,3.0,SOFT,16.0,77.708,,,1
HAM,44,1.0,1.0,SOFT,4.0,86.376,,,1
HAM,44,2.0,1.0,SOFT,5.0,81.678,,,1
HAM,44,3.0,1.0,SOFT,6.0,80.839,,,1
HAM,44,4.0,1.0,SOFT,7.0,80.962,,,1
HAM,44,5.0,1.0,SOFT,8.0,80.755,,,1
HAM,44,6.0,1.0,SOFT,9.0,80.705,,,1
HAM,44,7.0,1.0,SOFT,10.0,80.488,,,1
HAM,44,8.0,1.0,SOFT,11.0,80.478,,,1
HAM,44,9.0,1.0,SOFT,12.0,80.812,,,1
HAM,44,10.0,1.0,SOFT,13.0,80.71,,,1
HAM,44,11.0,1.0,SOFT,14.0,80.646,,,1
HAM,44,12.0,1.0,SOFT,15.0,80.504,,,1
HAM,44,13.0,1.0,SOFT,16.0,80.552,,,1
HAM,44,14.0,1.0,SOFT,17.0,80.785,,,1
HAM,44,15.0,1.0,SOFT,18.0,80.865,,,1
HAM,44,16.0,1.0,SOFT,19.0,79.733,,,1
HAM,44,17.0,1.0,SOFT,20.0,80.253,,,1
HAM,44,18.0,1.0,SOFT,21.0,80.172,,,1
HAM,44,19.0,1.0,SOFT,22.0,80.324,,,1
HAM,44,20.0,1.0,SOFT,23.0,80.527,,,1
HAM,44,21.0,1.0,SOFT,24.0,80.681,,,1
HAM,44,22.0,1.0,SOFT,25.0,80.562,,,1
HAM,44,23.0,1.0,SOFT,26.0,80.786,,,1
HAM,44,26.0,2.0,MEDIUM,2.0,79.629,,,1
HAM,44,27.0,2.0,MEDIUM,3.0,79.186,,,1
HAM,44,28.0,2.0,MEDIUM,4.0,79.161,,,1
HAM,44,29.0,2.0,MEDIUM,5.0,79.8,,,1
HAM,44,30.0,2.0,MEDIUM,6.0,79.292,,,1
HAM,44,31.0,2.0,MEDIUM,7.0,79.483,,,1
HAM,44,32.0,2.0,MEDIUM,8.0,79.215,,,1
HAM,44,33.0,2.0,MEDIUM,9.0,79.199,,,1
HAM,44,34.0,2.0,MEDIUM,10.0,79.028,,,1
HAM,44,35.0,2.0,MEDIUM,11.0,78.927,,,1
HAM,44,36.0,2.0,MEDIUM,12.0,79.127,,,1
HAM,44,37.0,2.0,MEDIUM,13.0,79.835,,,1
HAM,44,38.0,2.0,MEDIUM,14.0,79.732,,,1
HAM,44,39.0,2.0,MEDIUM,15.0,79.594,,,1
HAM,44,40.0,2.0,MEDIUM,16.0,79.468,,,1
HAM,44,41.0,2.0,MEDIUM,17.0,79.523,,,1
HAM,44,42.0,2.0,MEDIUM,18.0,79.187,,,1
HAM,44,43.0,2.0,MEDIUM,19.0,79.078,,,1
HAM,44,44.0,2.0,MEDIUM,20.0,79.121,,,1
HAM,44,45.0,2.0,MEDIUM,21.0,79.201,,,1
HAM,44,46.0,2.0,MEDIUM,22.0,78.965,,,1
HAM,44,47.0,2.0,MEDIUM,23.0,78.933,,,1
HAM,44,48.0,2.0,MEDIUM,24.0,79.183,,,1
HAM,44,49.0,2.0,MEDIUM,25.0,78.968,,,1
HAM,44,52.0,3.0,SOFT,5.0,78.621,,,1
HAM,44,53.0,3.0,SOFT,6.0,78.564,,,1
HAM,44,54.0,3.0,SOFT,7.0,77.529,,,1
HAM,44,55.0,3.0,SOFT,8.0,77.575,,,1
HAM,44,56.0,3.0,SOFT,9.0,77.874,,,1
HAM,44,57.0,3.0,SOFT,10.0,77.725,,,1
HAM,44,58.0,3.0,SOFT,11.0,77.848,,,1
HAM,44,59.0,3.0,SOFT,12.0,78.138,,,1
HAM,44,60.0,3.0,SOFT,13.0,78.475,,,1
HAM,44,61.0,3.0,SOFT,14.0,77.627,,,1
HAM,44,62.0,3.0,SOFT,15.0,76.676,,,1
HAM,44,63.0,3.0,SOFT,16.0,78.967,,,1
HAM,44,64.0,3.0,SOFT,17.0,78.579,,,1
HAM,44,65.0,3.0,SOFT,18.0,80.31,,,1
HAM,44,66.0,3.0,SOFT,19.0,79.12,,,1
RUS,63,1.0,1.0,SOFT,1.0,88.534,,,1
RUS,63,2.0,1.0,SOFT,2.0,81.934,,,1
RUS,63,3.0,1.0,SOFT,3.0,81.637,,,1
RUS,63,4.0,1.0,SOFT,4.0,81.087,,,1
RUS,63,5.0,1.0,SOFT,5.0,80.975,,,1
RUS,63,6.0,1.0,SOFT,6.0,81.33,,,1
RUS,63,7.0,1.0,SOFT,7.0,80.516,,,1
RUS,63,8.0,1.0,SOFT,8.0,81.159,,,1
RUS,63,9.0,1.0,SOFT,9.0,81.032,,,1
RUS,63,10.0,1.0,SOFT,10.0,81.255,,,1
RUS,63,11.0,1.0,SOFT,11.0,80.747,,,1
RUS,63,12.0,1.0,SOFT,12.0,81.264,,,1
RUS,63,13.0,1.0,SOFT,13.0,80.872,,,1
RUS,63,14.0,1.0,SOFT,14.0,80.855,,,1
RUS,63,15.0,1.0,SOFT,15.0,80.677,,,1
RUS,63,16.0,1.0,SOFT,16.0,80.646,,,1
RUS,63,17.0,1.0,SOFT,17.0,80.503,,,1
RUS,63,18.0,1.0,SOFT,18.0,80.521,,,1
RUS,63,19.0,1.0,SOFT,19.0,80.742,,,1
RUS,63,20.0,1.0,SOFT,20.0,80.523,,,1
RUS,63,21.0,1.0,SOFT,21.0,80.757,,,1
RUS,63,22.0,1.0,SOFT,22.0,80.724,,,1
RUS,63,23.0,1.0,SOFT,23.0,80.794,,,1
RUS,63,24.0,1.0,SOFT,24.0,81.05,,,1
RUS,63,27.0,2.0,MEDIUM,2.0,78.878,,,1
RUS,63,28.0,2.0,MEDIUM,3.0,78.264,,,1
RUS,63,29.0,2.0,MEDIUM,4.0,79.199,,,1
RUS,63,30.0,2.0,MEDIUM,5.0,79.362,,,1
RUS,63,31.0,2.0,MEDIUM,6.0,79.186,,,1
RUS,63,32.0,2.0,MEDIUM,7.0,79.302,,,1
RUS,63,33.0,2.0,MEDIUM,8.0,79.568,,,1
RUS,63,34.0,2.0,MEDIUM,9.0,79.489,,,1
